id,PrecursorMz,ProductMz,Retention.time,LibraryIntensity,adduct
HMDB00112,104.0706,45.03720994,NA,1,M+H
HMDB00112,104.0706,69.03471457,NA,0.404786065,M+H
HMDB00112,104.0706,43.02117328,NA,0.369623257,M+H
HMDB00112,104.0706,87.04444013,NA,0.361361946,M+H
HMDB00112,104.0706,41.04294666,NA,0.230370036,M+H
HMDB00630,114.0662,44.05280495,NA,1,M+H
HMDB00630,114.0662,43.03179743,NA,0.21309329,M+H
HMDB00630,114.0662,114.0664297,NA,0.211272524,M+H
HMDB00630,114.0662,72.9372066,NA,0.08888497,M+H
HMDB00630,114.0662,86.07073119,NA,0.06735553,M+H
HMDB00562,118.0611,43.03195548,NA,1,M+H
HMDB00562,118.0611,72.0558067,NA,0.676348548,M+H
HMDB00562,118.0611,55.03074904,NA,0.313993174,M+H
HMDB00562,118.0611,76.04017381,NA,0.262642309,M+H
HMDB00562,118.0611,73.03984758,NA,0.18395574,M+H
HMDB00128,121.05093,94.0398153,NA,1,M+H
HMDB00128,121.05093,121.0500488,NA,0.799390401,M+H
HMDB00128,121.05093,67.02970825,NA,0.557916819,M+H
HMDB00128,121.05093,52.02046044,NA,0.076063162,M+H
HMDB00128,121.05093,40.02225345,NA,0.061603846,M+H
HMDB01366,123.0553,80.05007515,NA,1,M+H
HMDB01366,123.0553,78.03466719,NA,0.443206476,M+H
HMDB01366,123.0553,123.0546163,NA,0.296014971,M+H
HMDB01366,123.0553,53.04012496,NA,0.149380103,M+H
HMDB01366,123.0553,81.93776238,NA,0.046602084,M+H
HMDB01406,130.0863,84.08142647,NA,1,M+H
HMDB01406,130.0863,56.0516321,NA,0.182333734,M+H
HMDB01406,130.0863,130.0860503,NA,0.045543448,M+H
HMDB01406,130.0863,77.03935561,NA,0.024922131,M+H
HMDB01406,130.0863,55.05602827,NA,0.023785595,M+H
HMDB00267,131.1179,72.0818178,NA,1,M+H
HMDB00267,131.1179,43.02059604,NA,0.188733758,M+H
HMDB00267,131.1179,114.0904642,NA,0.166141546,M+H
HMDB00267,131.1179,55.05578549,NA,0.102784795,M+H
HMDB00267,131.1179,60.04560271,NA,0.060767555,M+H
HMDB00716,132.0768,44.05204005,NA,1,M+H
HMDB00716,132.0768,90.05491568,NA,0.413932766,M+H
HMDB00716,132.0768,43.03271046,NA,0.276090185,M+H
HMDB00716,132.0768,132.0755209,NA,0.156068584,M+H
HMDB00716,132.0768,62.92921817,NA,0.063785473,M+H
HMDB02064,137.0458,137.0449141,NA,1,M+H
HMDB02064,137.0458,119.0351279,NA,0.840962316,M+H
HMDB02064,137.0458,110.03499,NA,0.800617415,M+H
HMDB02064,137.0458,94.04013875,NA,0.398658718,M+H
HMDB02064,137.0458,82.04001472,NA,0.366033966,M+H
HMDB00064,142.0975,81.04444458,NA,1,M+H
HMDB00064,142.0975,95.05998716,NA,0.229831067,M+H
HMDB00064,142.0975,124.085744,NA,0.096979895,M+H
HMDB00064,142.0975,83.06064807,NA,0.079851669,M+H
HMDB00064,142.0975,54.03535593,NA,0.066810863,M+H
HMDB00034,147.0764,84.0439817,NA,1,M+H
HMDB00034,147.0764,56.05058882,NA,0.158569501,M+H
HMDB00034,147.0764,130.0487669,NA,0.103709949,M+H
HMDB00034,147.0764,41.04195677,NA,0.057898499,M+H
HMDB00034,147.0764,85.02711568,NA,0.025844056,M+H
HMDB00157,152.0567,135.0300188,NA,1,M+H
HMDB00157,152.0567,152.0562904,NA,0.364960823,M+H
HMDB00157,152.0567,107.0349955,NA,0.338437214,M+H
HMDB00157,152.0567,80.02527655,NA,0.151369306,M+H
HMDB00157,152.0567,109.0497867,NA,0.125949024,M+H
HMDB00301,160.1332,114.1273259,NA,1,M+H
HMDB00301,160.1332,55.05622792,NA,0.472727273,M+H
HMDB00301,160.1332,97.10070943,NA,0.126072041,M+H
HMDB00301,160.1332,43.05707515,NA,0.100343053,M+H
HMDB00301,160.1332,41.041729,NA,0.072966892,M+H
HMDB03431,162.1125,85.02820003,NA,1,M+H
HMDB03431,162.1125,103.0383898,NA,0.944933555,M+H
HMDB03431,162.1125,102.0912531,NA,0.760025161,M+H
HMDB03431,162.1125,60.08176309,NA,0.703244797,M+H
HMDB03431,162.1125,43.02066308,NA,0.653967752,M+H
HMDB00641,170.0812,134.0590777,NA,1,M+H
HMDB00641,170.0812,77.03870095,NA,0.19167793,M+H
HMDB00641,170.0812,152.0694524,NA,0.186671793,M+H
HMDB00641,170.0812,79.0549262,NA,0.104641812,M+H
HMDB00641,170.0812,106.0646961,NA,0.099628723,M+H
HMDB00403,176.103,70.06625896,NA,1,M+H
HMDB00403,176.103,113.0699285,NA,0.227309727,M+H
HMDB00403,176.103,159.0749762,NA,0.097273097,M+H
HMDB00403,176.103,114.0530606,NA,0.042021139,M+H
HMDB00403,176.103,116.0697235,NA,0.028313296,M+H
HMDB00991,190.0499,144.0439873,NA,1,M+H
HMDB00991,190.0499,116.0485046,NA,0.328226339,M+H
HMDB00991,190.0499,89.03902171,NA,0.251539555,M+H
HMDB00991,190.0499,172.0389,NA,0.041005637,M+H
HMDB00991,190.0499,190.0501312,NA,0.036448397,M+H
HMDB00062,204.123,85.02891741,NA,1,M+H
HMDB00062,204.123,60.08248325,NA,0.04664805,M+H
HMDB00062,204.123,204.1226258,NA,0.038030902,M+H
HMDB00062,204.123,145.0485404,NA,0.025376894,M+H
HMDB00062,204.123,57.03541966,NA,0.023948619,M+H
HMDB00239,244.0928,112.0504706,NA,1,M+H
HMDB00239,244.0928,95.02345214,NA,0.063994467,M+H
HMDB00239,244.0928,94.03902958,NA,0.022918335,M+H
HMDB00239,244.0928,69.04509962,NA,0.016569201,M+H
HMDB00239,244.0928,111.7066546,NA,0.014165042,M+H
HMDB00517,245.0955,227.0842737,NA,1,M+H
HMDB00517,245.0955,97.03936827,NA,0.254347497,M+H
HMDB00517,245.0955,123.0247011,NA,0.228981015,M+H
HMDB00517,245.0955,166.0682789,NA,0.141480207,M+H
HMDB00517,245.0955,105.0689382,NA,0.13119556,M+H
HMDB00904,258.1101,104.1066989,NA,1,M+H
HMDB00904,258.1101,124.9992137,NA,0.678285235,M+H
HMDB00904,258.1101,86.09708758,NA,0.412675802,M+H
HMDB00904,258.1101,98.98399394,NA,0.124165159,M+H
HMDB00904,258.1101,184.0724482,NA,0.112422529,M+H
HMDB00715,268.1041,136.0604665,NA,1,M+H
HMDB00715,268.1041,119.0339032,NA,0.034598286,M+H
HMDB00715,268.1041,268.1037897,NA,0.017457786,M+H
HMDB00715,269.0881,137.0449398,NA,1,M+H
HMDB00715,269.0881,110.0339098,NA,0.036410209,M+H
HMDB00201,269.0881,119.034002,NA,0.033778698,M+H
HMDB00201,269.0881,94.03911392,NA,0.021498491,M+H
HMDB00201,284.099,152.0553255,NA,1,M+H
HMDB00201,284.099,135.029225,NA,0.162311672,M+H
HMDB00201,284.099,110.0336229,NA,0.046900404,M+H
HMDB00089,298.1146,152.0557525,NA,1,M+H
HMDB00089,298.1146,135.0296604,NA,0.142506257,M+H
HMDB00089,298.1146,110.0343909,NA,0.037402646,M+H
HMDB00089,298.1146,87.04383103,NA,0.012794006,M+H
HMDB00089,298.1146,71.04926963,NA,0.01205857,M+H
